,,GENDER,0
FRUITS_VEGGIES,mean,Female,2.637960730279022
FRUITS_VEGGIES,mean,Male,2.33965744400527
FRUITS_VEGGIES,median,Female,3.0
FRUITS_VEGGIES,median,Male,2.0
FRUITS_VEGGIES,max,Female,5.0
FRUITS_VEGGIES,max,Male,5.0
FRUITS_VEGGIES,min,Female,0.0
FRUITS_VEGGIES,min,Male,0.0
DAILY_STRESS,mean,Female,3.2437133999311056
DAILY_STRESS,mean,Male,2.8519104084321474
DAILY_STRESS,median,Female,3.0
DAILY_STRESS,median,Male,3.0
DAILY_STRESS,max,Female,5.0
DAILY_STRESS,max,Male,5.0
DAILY_STRESS,min,Female,0.0
DAILY_STRESS,min,Male,0.0
PLACES_VISITED,mean,Female,4.203065794006201
PLACES_VISITED,mean,Male,4.019235836627141
PLACES_VISITED,median,Female,4.0
PLACES_VISITED,median,Male,3.0
PLACES_VISITED,max,Female,10.0
PLACES_VISITED,max,Male,10.0
PLACES_VISITED,min,Female,0.0
PLACES_VISITED,min,Male,0.0
CORE_CIRCLE,mean,Female,4.820358250086118
CORE_CIRCLE,mean,Male,4.235309617918314
CORE_CIRCLE,median,Female,4.0
CORE_CIRCLE,median,Male,4.0
CORE_CIRCLE,max,Female,10.0
CORE_CIRCLE,max,Male,10.0
CORE_CIRCLE,min,Female,0.0
CORE_CIRCLE,min,Male,0.0
SUPPORTING_OTHERS,mean,Female,4.836548398208749
SUPPORTING_OTHERS,mean,Male,3.8911725955204215
SUPPORTING_OTHERS,median,Female,4.0
SUPPORTING_OTHERS,median,Male,3.0
SUPPORTING_OTHERS,max,Female,10.0
SUPPORTING_OTHERS,max,Male,10.0
SUPPORTING_OTHERS,min,Female,0.0
SUPPORTING_OTHERS,min,Male,0.0
SOCIAL_NETWORK,mean,Female,5.81277988287978
SOCIAL_NETWORK,mean,Male,5.520421607378129
SOCIAL_NETWORK,median,Female,5.0
SOCIAL_NETWORK,median,Male,5.0
SOCIAL_NETWORK,max,Female,10.0
SOCIAL_NETWORK,max,Male,10.0
SOCIAL_NETWORK,min,Female,0.0
SOCIAL_NETWORK,min,Male,0.0
ACHIEVEMENT,mean,Female,3.0642438856355496
ACHIEVEMENT,mean,Male,2.9225296442687747
ACHIEVEMENT,median,Female,3.0
ACHIEVEMENT,median,Male,3.0
ACHIEVEMENT,max,Female,10.0
ACHIEVEMENT,max,Male,10.0
ACHIEVEMENT,min,Female,0.0
ACHIEVEMENT,min,Male,0.0
DONATION,mean,Female,2.354288666896314
DONATION,mean,Male,1.8930171277997365
DONATION,median,Female,2.0
DONATION,median,Male,1.0
DONATION,max,Female,5.0
DONATION,max,Male,5.0
DONATION,min,Female,0.0
DONATION,min,Male,0.0
BMI_RANGE,mean,Female,1.4912159834653806
BMI_RANGE,mean,Male,1.4658761528326745
BMI_RANGE,median,Female,1.0
BMI_RANGE,median,Male,1.0
BMI_RANGE,max,Female,2.0
BMI_RANGE,max,Male,2.0
BMI_RANGE,min,Female,1.0
BMI_RANGE,min,Male,1.0
TODO_COMPLETED,mean,Female,5.075094729590079
TODO_COMPLETED,mean,Male,4.601581027667984
TODO_COMPLETED,median,Female,5.0
TODO_COMPLETED,median,Male,5.0
TODO_COMPLETED,max,Female,10.0
TODO_COMPLETED,max,Male,10.0
TODO_COMPLETED,min,Female,0.0
TODO_COMPLETED,min,Male,0.0
FLOW,mean,Female,2.5327247674819153
FLOW,mean,Male,2.421870882740448
FLOW,median,Female,2.0
FLOW,median,Male,2.0
FLOW,max,Female,10.0
FLOW,max,Male,10.0
FLOW,min,Female,0.0
FLOW,min,Male,0.0
DAILY_STEPS,mean,Female,4.830347915949019
DAILY_STEPS,mean,Male,5.144137022397892
DAILY_STEPS,median,Female,5.0
DAILY_STEPS,median,Male,5.0
DAILY_STEPS,max,Female,10.0
DAILY_STEPS,max,Male,10.0
DAILY_STEPS,min,Female,1.0
DAILY_STEPS,min,Male,1.0
LIVE_VISION,mean,Female,2.682397519807096
LIVE_VISION,mean,Male,2.8669301712779975
LIVE_VISION,median,Female,2.0
LIVE_VISION,median,Male,2.0
LIVE_VISION,max,Female,10.0
LIVE_VISION,max,Male,10.0
LIVE_VISION,min,Female,0.0
LIVE_VISION,min,Male,0.0
SLEEP_HOURS,mean,Female,6.985015501205649
SLEEP_HOURS,mean,Male,6.8179183135704875
SLEEP_HOURS,median,Female,7.0
SLEEP_HOURS,median,Male,7.0
SLEEP_HOURS,max,Female,10.0
SLEEP_HOURS,max,Male,10.0
SLEEP_HOURS,min,Female,1.0
SLEEP_HOURS,min,Male,1.0
LOST_VACATION,mean,Female,3.4607302790217016
LOST_VACATION,mean,Male,3.5831357048748353
LOST_VACATION,median,Female,2.0
LOST_VACATION,median,Male,2.0
LOST_VACATION,max,Female,10.0
LOST_VACATION,max,Male,10.0
LOST_VACATION,min,Female,0.0
LOST_VACATION,min,Male,0.0
DAILY_SHOUTING,mean,Female,3.497244230106786
DAILY_SHOUTING,mean,Male,3.037417654808959
DAILY_SHOUTING,median,Female,3.0
DAILY_SHOUTING,median,Male,2.0
DAILY_SHOUTING,max,Female,10.0
DAILY_SHOUTING,max,Male,10.0
DAILY_SHOUTING,min,Female,0.0
DAILY_SHOUTING,min,Male,0.0
SUFFICIENT_INCOME,mean,Female,1.6172924560799173
SUFFICIENT_INCOME,mean,Male,1.6413702239789196
SUFFICIENT_INCOME,median,Female,2.0
SUFFICIENT_INCOME,median,Male,2.0
SUFFICIENT_INCOME,max,Female,2.0
SUFFICIENT_INCOME,max,Male,2.0
SUFFICIENT_INCOME,min,Female,1.0
SUFFICIENT_INCOME,min,Male,1.0
PERSONAL_AWARDS,mean,Female,4.763692731656906
PERSONAL_AWARDS,mean,Male,4.590777338603425
PERSONAL_AWARDS,median,Female,4.0
PERSONAL_AWARDS,median,Male,4.0
PERSONAL_AWARDS,max,Female,10.0
PERSONAL_AWARDS,max,Male,10.0
PERSONAL_AWARDS,min,Female,0.0
PERSONAL_AWARDS,min,Male,0.0
TIME_FOR_PASSION,mean,Female,2.3744402342404407
TIME_FOR_PASSION,mean,Male,2.464558629776021
TIME_FOR_PASSION,median,Female,2.0
TIME_FOR_PASSION,median,Male,2.0
TIME_FOR_PASSION,max,Female,10.0
TIME_FOR_PASSION,max,Male,10.0
TIME_FOR_PASSION,min,Female,0.0
TIME_FOR_PASSION,min,Male,0.0
WEEKLY_MEDITATION,mean,Female,5.215466758525663
WEEKLY_MEDITATION,mean,Male,5.8603425559947295
WEEKLY_MEDITATION,median,Female,5.0
WEEKLY_MEDITATION,median,Male,6.0
WEEKLY_MEDITATION,max,Female,10.0
WEEKLY_MEDITATION,max,Male,10.0
WEEKLY_MEDITATION,min,Female,0.0
WEEKLY_MEDITATION,min,Male,0.0
