,,GENDER,0
FRUITS_VEGGIES,mean,Female,1.0
FRUITS_VEGGIES,mean,Male,0.5666666666666667
FRUITS_VEGGIES,median,Female,1.0
FRUITS_VEGGIES,median,Male,0.0
FRUITS_VEGGIES,max,Female,5.0
FRUITS_VEGGIES,max,Male,5.0
FRUITS_VEGGIES,min,Female,0.0
FRUITS_VEGGIES,min,Male,0.0
DAILY_STRESS,mean,Female,4.4772727272727275
DAILY_STRESS,mean,Male,4.366666666666666
DAILY_STRESS,median,Female,5.0
DAILY_STRESS,median,Male,5.0
DAILY_STRESS,max,Female,5.0
DAILY_STRESS,max,Male,5.0
DAILY_STRESS,min,Female,0.0
DAILY_STRESS,min,Male,0.0
PLACES_VISITED,mean,Female,0.29545454545454547
PLACES_VISITED,mean,Male,0.6333333333333333
PLACES_VISITED,median,Female,0.0
PLACES_VISITED,median,Male,0.0
PLACES_VISITED,max,Female,3.0
PLACES_VISITED,max,Male,5.0
PLACES_VISITED,min,Female,0.0
PLACES_VISITED,min,Male,0.0
CORE_CIRCLE,mean,Female,1.5681818181818181
CORE_CIRCLE,mean,Male,1.3666666666666667
CORE_CIRCLE,median,Female,1.0
CORE_CIRCLE,median,Male,1.0
CORE_CIRCLE,max,Female,8.0
CORE_CIRCLE,max,Male,4.0
CORE_CIRCLE,min,Female,0.0
CORE_CIRCLE,min,Male,0.0
SUPPORTING_OTHERS,mean,Female,1.5681818181818181
SUPPORTING_OTHERS,mean,Male,0.43333333333333335
SUPPORTING_OTHERS,median,Female,1.0
SUPPORTING_OTHERS,median,Male,0.0
SUPPORTING_OTHERS,max,Female,8.0
SUPPORTING_OTHERS,max,Male,3.0
SUPPORTING_OTHERS,min,Female,0.0
SUPPORTING_OTHERS,min,Male,0.0
SOCIAL_NETWORK,mean,Female,1.8409090909090908
SOCIAL_NETWORK,mean,Male,1.4666666666666666
SOCIAL_NETWORK,median,Female,1.5
SOCIAL_NETWORK,median,Male,1.0
SOCIAL_NETWORK,max,Female,10.0
SOCIAL_NETWORK,max,Male,5.0
SOCIAL_NETWORK,min,Female,0.0
SOCIAL_NETWORK,min,Male,0.0
ACHIEVEMENT,mean,Female,0.5454545454545454
ACHIEVEMENT,mean,Male,0.6666666666666666
ACHIEVEMENT,median,Female,0.0
ACHIEVEMENT,median,Male,0.0
ACHIEVEMENT,max,Female,6.0
ACHIEVEMENT,max,Male,3.0
ACHIEVEMENT,min,Female,0.0
ACHIEVEMENT,min,Male,0.0
DONATION,mean,Female,0.4318181818181818
DONATION,mean,Male,0.16666666666666666
DONATION,median,Female,0.0
DONATION,median,Male,0.0
DONATION,max,Female,2.0
DONATION,max,Male,2.0
DONATION,min,Female,0.0
DONATION,min,Male,0.0
BMI_RANGE,mean,Female,1.9318181818181819
BMI_RANGE,mean,Male,1.8666666666666667
BMI_RANGE,median,Female,2.0
BMI_RANGE,median,Male,2.0
BMI_RANGE,max,Female,2.0
BMI_RANGE,max,Male,2.0
BMI_RANGE,min,Female,1.0
BMI_RANGE,min,Male,1.0
TODO_COMPLETED,mean,Female,1.5227272727272727
TODO_COMPLETED,mean,Male,0.5
TODO_COMPLETED,median,Female,1.0
TODO_COMPLETED,median,Male,0.0
TODO_COMPLETED,max,Female,6.0
TODO_COMPLETED,max,Male,3.0
TODO_COMPLETED,min,Female,0.0
TODO_COMPLETED,min,Male,0.0
FLOW,mean,Female,0.9318181818181818
FLOW,mean,Male,0.5666666666666667
FLOW,median,Female,0.5
FLOW,median,Male,0.0
FLOW,max,Female,8.0
FLOW,max,Male,3.0
FLOW,min,Female,0.0
FLOW,min,Male,0.0
DAILY_STEPS,mean,Female,2.022727272727273
DAILY_STEPS,mean,Male,2.1666666666666665
DAILY_STEPS,median,Female,1.0
DAILY_STEPS,median,Male,1.0
DAILY_STEPS,max,Female,8.0
DAILY_STEPS,max,Male,10.0
DAILY_STEPS,min,Female,1.0
DAILY_STEPS,min,Male,1.0
LIVE_VISION,mean,Female,0.7727272727272727
LIVE_VISION,mean,Male,1.5
LIVE_VISION,median,Female,0.0
LIVE_VISION,median,Male,0.0
LIVE_VISION,max,Female,10.0
LIVE_VISION,max,Male,10.0
LIVE_VISION,min,Female,0.0
LIVE_VISION,min,Male,0.0
SLEEP_HOURS,mean,Female,5.4772727272727275
SLEEP_HOURS,mean,Male,5.6
SLEEP_HOURS,median,Female,5.5
SLEEP_HOURS,median,Male,6.0
SLEEP_HOURS,max,Female,9.0
SLEEP_HOURS,max,Male,10.0
SLEEP_HOURS,min,Female,1.0
SLEEP_HOURS,min,Male,1.0
LOST_VACATION,mean,Female,6.4772727272727275
LOST_VACATION,mean,Male,6.233333333333333
LOST_VACATION,median,Female,10.0
LOST_VACATION,median,Male,10.0
LOST_VACATION,max,Female,10.0
LOST_VACATION,max,Male,10.0
LOST_VACATION,min,Female,0.0
LOST_VACATION,min,Male,0.0
DAILY_SHOUTING,mean,Female,7.25
DAILY_SHOUTING,mean,Male,7.166666666666667
DAILY_SHOUTING,median,Female,10.0
DAILY_SHOUTING,median,Male,10.0
DAILY_SHOUTING,max,Female,10.0
DAILY_SHOUTING,max,Male,10.0
DAILY_SHOUTING,min,Female,0.0
DAILY_SHOUTING,min,Male,0.0
SUFFICIENT_INCOME,mean,Female,1.0454545454545454
SUFFICIENT_INCOME,mean,Male,1.1
SUFFICIENT_INCOME,median,Female,1.0
SUFFICIENT_INCOME,median,Male,1.0
SUFFICIENT_INCOME,max,Female,2.0
SUFFICIENT_INCOME,max,Male,2.0
SUFFICIENT_INCOME,min,Female,1.0
SUFFICIENT_INCOME,min,Male,1.0
PERSONAL_AWARDS,mean,Female,2.022727272727273
PERSONAL_AWARDS,mean,Male,1.1333333333333333
PERSONAL_AWARDS,median,Female,2.0
PERSONAL_AWARDS,median,Male,1.0
PERSONAL_AWARDS,max,Female,10.0
PERSONAL_AWARDS,max,Male,6.0
PERSONAL_AWARDS,min,Female,0.0
PERSONAL_AWARDS,min,Male,0.0
TIME_FOR_PASSION,mean,Female,0.5681818181818182
TIME_FOR_PASSION,mean,Male,0.3333333333333333
TIME_FOR_PASSION,median,Female,0.0
TIME_FOR_PASSION,median,Male,0.0
TIME_FOR_PASSION,max,Female,3.0
TIME_FOR_PASSION,max,Male,2.0
TIME_FOR_PASSION,min,Female,0.0
TIME_FOR_PASSION,min,Male,0.0
WEEKLY_MEDITATION,mean,Female,1.5454545454545454
WEEKLY_MEDITATION,mean,Male,2.533333333333333
WEEKLY_MEDITATION,median,Female,0.5
WEEKLY_MEDITATION,median,Male,1.0
WEEKLY_MEDITATION,max,Female,10.0
WEEKLY_MEDITATION,max,Male,10.0
WEEKLY_MEDITATION,min,Female,0.0
WEEKLY_MEDITATION,min,Male,0.0
